#Model    LogL(with_gamma=1.2)    LogL(back_only)        LogL(with_gamma=0.8)    LogL(with_gamma=0.9) LogL(with_gamma=1.0)   LogL(with_gamma=1.1)   LogL(with_gamma=1.3)   LogL(with_gamma=1.4)
I         -1875264.67772333       -1877198.32328766      -1879102.7932684        -1878980.7750465     -1878905.2393526       -1878865.2789558       -1878874.2793330       -1878916.7674721 
II        -1888300.46836079       -1889802.54638821      -1878981.7236738        -1878781.6065063     -1878638.3035733       -1878534.9549132       -1878435.1093700       -1878443.4180347
III       -1877269.78117491       -1878407.38201014      -1879427.6529880        -1879377.6993412     -1879351.6528719       -1879348.1470441       -1879400.7101431       -1879454.9192782
IV        -1875220.35004967       -1877462.85594041      -1879213.8730694        -1878988.9753729     -1878821.2086745       -1878715.5911902       -1878619.6041831       -1878631.4720056
V         -1875366.49307529       -1877674.01272820      -1879146.2971145        -1878924.9608289     -1878772.0500126       -1878658.3519852       -1878562.0685277       -1878569.5423915
VI        -1875274.42816752       -1877501.17071312      -1879431.2136883        -1879184.6684500     -1879006.3526286       -1878889.9296873       -1878800.1100751       -1878822.8055526
VII       -1875291.00289967       -1877631.01610133      -1879232.8174879        -1878981.8465302     -1878805.1443270       -1878680.0240484       -1878570.6668002       -1878570.3135444
VIII      -1877947.50834324       -1880390.72659783      -1881072.3773742        -1880775.4584933     -1880543.0748406       -1880369.9932297       -1880163.8602923       -1880128.9484057
IX        -1875433.59171603       -1877837.27795847      -1879436.6891106        -1879193.2398775     -1879003.8434021       -1878869.9231977       -1878744.0717182       -1878733.0914552
X         -1875071.61082686       -1877281.09436527      -1879171.1058153        -1878959.1015985     -1878800.8247368       -1878700.9722740       -1878624.0875852       -1878633.1573407
XI        -1878243.05366827       -1883480.10331072      -1881980.4101947        -1881643.0480634     -1881368.3584169       -1881157.7579663       -1880901.5529197       -1880854.4638491
XII       -1877508.02452666       -1880896.56686134      -1881319.0843845        -1881044.2858418     -1880820.5730475       -1880651.2047486       -1880458.3692094       -1880428.7503483 
XIII      -1877187.26077817       -1877688.85675541      -1880955.3473069        -1880903.2521587     -1880851.1364779       -1880803.1994588       -1880713.1459833       -1880675.2317754
XIV       -1877177.98293624       -1877650.90484027      -1881070.6241416        -1881022.3953114     -1880968.9450176       -1880916.4743616       -1880813.5924565       -1880771.3512748
XV        -1875044.93188647       -1876439.98123045      -1879656.6144184        -1879467.7408679     -1879312.3425527       -1879197.7072435       -1879057.8827689       -1879025.7357505
XVI       -1876937.18723121       -1877970.28740010      -1880559.9893723        -1880483.7911751     -1880422.8393322       -1880372.7496215       -1880322.0049565       -1880321.6676799
XVII      -1877242.73885756       -1877723.52266986      -1881345.9344885        -1881285.4943692     -1881228.3031348       -1881163.0021186       -1881046.4279621       -1880996.2212570
XVIII     -1877179.27518802       -1878084.42622596      -1880630.5114640        -1880535.7049772     -1880456.4592879       -1880382.5351946       -1880283.7628807       -1880262.0679302
XIX       -1877326.68686025       -1877757.87210322      -1881684.7228994        -1881636.9188515     -1881581.4861019       -1881517.7405148       -1881404.1355448       -1881353.6416102
XX        -1877204.09911447       -1877647.60568187      -1881311.4080217        -1881262.9978793     -1881210.8180280       -1881162.5082310       -1881066.7928593       -1881029.5109186 
XXI       -1877138.10510705       -1878061.20004644      -1880561.3039579        -1880468.9072007     -1880389.2069174       -1880325.9646059       -1880235.7683586       -1880211.6428774
XXII      -1877271.21609241       -1877709.52493585      -1881591.7896397        -1881543.9893202     -1881484.8494751       -1881424.8030005       -1881314.8810946       -1881270.4383638
XXIII     -1877206.49828083       -1877675.08568759      -1883858.2200574        -1883810.0038234     -1883758.8145868       -1883712.6505585       -1883624.7476824       -1883591.6254174
XXIV      -1877072.01071966       -1878045.73583282      -1880512.3078113        -1880431.6406780     -1880356.3909373       -1880297.1938251       -1880226.5634739       -1880213.8268361 
XXV       -1877259.40438094       -1877701.91971682      -1881500.7173710        -1881453.5216329     -1881399.9840648       -1881345.7362747       -1881242.1916721       -1881196.8332492
XXVI      -1877014.34457621       -1878044.95428172      -1880540.9041444        -1880463.7982970     -1880395.0492325       -1880342.0565398       -1880283.2115443       -1880275.4964020
XXVII     -1877306.28680432       -1877767.64511327      -1881481.2005525        -1881432.7717381     -1881384.5419408       -1881329.5095145       -1881231.8319383       -1881191.7663607
XXVIII    -1877514.37787892       -1878150.18931553      -1881499.9172095        -1881460.6375810     -1881428.3672661       -1881395.5000630       -1881347.1445968       -1881331.7043197
